Disease,Symptoms,Treatment,Recommendation
Common Cold,"Runny nose, sneezing, sore throat, cough, mild fever","Rest, hydration, over-the-counter decongestants, lozenges","Avoid cold exposure, drink warm fluids, maintain hygiene"
Influenza,"Fever, chills, muscle aches, cough, congestion, fatigue","Antiviral medications (if severe), rest, hydration","Annual flu vaccine, wash hands frequently, avoid close contact"
Pneumonia,"Fever, chills, cough with phlegm, chest pain, difficulty breathing","Antibiotics (bacterial), antivirals (viral), oxygen therapy if needed","Quit smoking, get vaccinated, maintain good hygiene"
Dementia,"Memory loss, confusion, difficulty in communication, mood changes","Cognitive therapy, medications (donepezil, memantine)","Engage in brain-stimulating activities, maintain a healthy diet, regular checkups"
Bone Fracture,"Severe pain, swelling, inability to move, bruising","Casting, immobilization, surgery (if severe)","Increase calcium and vitamin D intake, avoid risky activities"
Abdominal Pain,"Cramps, bloating, nausea, vomiting, diarrhea or constipation","Depends on cause: antacids (gastritis), antibiotics (infection), surgery (appendicitis)","Eat fiber-rich food, drink plenty of water, avoid overeating"
Heart Disease,"Chest pain, shortness of breath, fatigue, dizziness","Medications (aspirin, beta-blockers), lifestyle changes, surgery (if required)","Healthy diet, regular exercise, manage stress, avoid smoking"
Diabetes,"Frequent urination, excessive thirst, fatigue, slow healing wounds","Insulin therapy, oral medications, dietary changes","Monitor blood sugar, maintain a healthy diet, regular exercise"
Brain Tumor,"Persistent headaches, vision problems, nausea, seizures","Surgery, radiation therapy, chemotherapy","Regular MRI scans if at risk, avoid excessive radiation exposure"
Hypertension,"High blood pressure, headaches, dizziness, nosebleeds","Antihypertensive medications, lifestyle changes","Reduce salt intake, exercise regularly, manage stress"
Gastroenteritis,"Vomiting, diarrhea, abdominal cramps, fever","Hydration, electrolyte replacement, anti-nausea medications","Avoid contaminated food and water, wash hands frequently"
Asthma,"Wheezing, shortness of breath, chest tightness, coughing","Inhalers (bronchodilators, steroids), avoiding triggers","Avoid allergens, maintain a clean environment, exercise carefully"
Migraine,"Severe headache, nausea, sensitivity to light and sound","Pain relievers, triptans, anti-nausea medications","Maintain a regular sleep schedule, avoid triggers (stress, certain foods)"
Arthritis,"Joint pain, stiffness, swelling, reduced mobility","Pain relievers, anti-inflammatory drugs, physiotherapy","Regular exercise, maintain healthy weight, avoid joint strain"
Skin Infection,"Redness, swelling, pus formation, itchiness","Topical or oral antibiotics, antifungal creams","Maintain hygiene, avoid scratching infected areas"
Food Poisoning,"Nausea, vomiting, diarrhea, stomach cramps, fever","Hydration, electrolyte replacement, antibiotics (if bacterial)","Ensure proper food hygiene, avoid eating undercooked food"
Tonsillitis,"Sore throat, swollen tonsils, difficulty swallowing, fever","Antibiotics (if bacterial), pain relievers, throat lozenges","Avoid exposure to infections, maintain oral hygiene"
Anemia,"Fatigue, weakness, pale skin, dizziness","Iron supplements, vitamin B12 injections, dietary changes","Increase iron intake, consume vitamin C for better absorption"
Liver Disease,"Jaundice, fatigue, swollen abdomen, dark urine","Lifestyle changes, medications, liver transplant (severe cases)","Avoid alcohol, maintain a healthy diet, exercise regularly"
Common Cold,"Nasal congestion, mild headache, sneezing, low-grade fever","Steam inhalation, saline nasal spray, vitamin C supplements","Drink warm fluids, rest properly, avoid crowded places"
Influenza,"High fever, chills, muscle aches, sore throat, severe fatigue","Bed rest, hydration, antiviral medication (if diagnosed early)","Get vaccinated annually, strengthen immunity with proper diet"
Pneumonia,"Cough with green or yellow mucus, fever, sweating, rapid breathing","Antibiotics (bacterial), supportive oxygen therapy, fever reducers","Avoid smoking, get pneumonia vaccine, maintain hand hygiene"
Dementia,"Difficulty recognizing faces, getting lost, forgetting words","Cognitive behavioral therapy, memory training, acetylcholinesterase inhibitors","Stay mentally active, follow a nutritious diet, manage blood pressure"
Bone Fracture,"Swelling, intense pain, inability to bear weight, bruising","Immobilization, surgery with metal plates (if severe), pain relievers","Wear protective gear, increase calcium intake, maintain bone health"
Abdominal Pain,"Sharp cramps, nausea, bloating, excessive gas","Antispasmodics (if IBS-related), acid reducers (if ulcer-related)","Avoid spicy food, maintain a balanced diet, drink sufficient water"
Heart Disease,"Irregular heartbeat, cold sweat, discomfort in the chest","Blood thinners, statins, lifestyle modifications, angioplasty (if needed)","Reduce cholesterol intake, engage in moderate exercise, avoid stress"
Diabetes,"Unexplained weight loss, excessive hunger, frequent infections","Metformin, insulin therapy, lifestyle changes","Monitor sugar intake, maintain a healthy weight, control carb intake"
Brain Tumor,"Memory problems, personality changes, difficulty walking","Radiation therapy, targeted drug therapy, surgery","Avoid carcinogenic substances, get regular brain scans if at risk"
Hypertension,"Blurred vision, pounding in the chest, anxiety, nosebleeds","ACE inhibitors, diuretics, beta-blockers","Limit alcohol, maintain a low-sodium diet, practice relaxation techniques"
Gastroenteritis,"Watery diarrhea, vomiting, stomach cramps, mild fever","Hydration therapy, probiotics, antidiarrheal medications","Boil drinking water, practice food hygiene, avoid street food"
